period_begin,state,state_code,property_type,median_sale_price,id
2020-01-01,Washington,WA,Townhouse,541100,53
2020-01-01,Iowa,IA,Multi-Family (2-4 Unit),116800,19
2020-01-01,Rhode Island,RI,Multi-Family (2-4 Unit),295300,44
2020-01-01,Florida,FL,All Residential,249200,12
2020-01-01,Kentucky,KY,Condo/Co-op,148700,21
2020-01-01,South Dakota,SD,All Residential,205900,46
2020-01-01,New York,NY,Single Family Residential,334300,36
2020-01-01,Florida,FL,Multi-Family (2-4 Unit),289100,12
2020-01-01,Indiana,IN,Townhouse,170500,18
2020-01-01,West Virginia,WV,Townhouse,167900,54
2020-01-01,Texas,TX,Condo/Co-op,195800,48
2020-01-01,Arkansas,AR,Condo/Co-op,199300,5
2020-01-01,South Dakota,SD,Condo/Co-op,146200,46
2020-01-01,Virginia,VA,Single Family Residential,302300,51
2020-01-01,North Carolina,NC,All Residential,236900,37
2020-01-01,California,CA,Single Family Residential,549100,6
2020-01-01,New York,NY,Condo/Co-op,604700,36
2020-01-01,Alaska,AK,All Residential,270500,2
2020-01-01,North Dakota,ND,Condo/Co-op,124100,38
2020-01-01,New York,NY,Townhouse,581700,36
2020-01-01,Virginia,VA,Townhouse,342000,51
2020-01-01,Wisconsin,WI,Single Family Residential,202900,55
2020-01-01,Connecticut,CT,All Residential,258100,9
2020-01-01,Florida,FL,Condo/Co-op,192700,12
2020-01-01,Connecticut,CT,Multi-Family (2-4 Unit),222300,9
2020-01-01,Michigan,MI,Single Family Residential,171300,26
2020-01-01,Texas,TX,All Residential,237600,48
2020-01-01,Oklahoma,OK,All Residential,162400,40
2020-01-01,California,CA,Townhouse,580700,6
2020-01-01,Connecticut,CT,Single Family Residential,291500,9
2020-01-01,Washington,WA,Single Family Residential,422500,53
2020-01-01,Columbia,DC,All Residential,550000,11
2020-01-01,California,CA,Multi-Family (2-4 Unit),761400,6
2020-01-01,Wisconsin,WI,All Residential,194700,55
2020-01-01,California,CA,All Residential,546400,6
2020-01-01,Oklahoma,OK,Multi-Family (2-4 Unit),160000,40
2020-01-01,Montana,MT,Multi-Family (2-4 Unit),430200,30
2020-01-01,Nebraska,NE,Multi-Family (2-4 Unit),170300,31
2020-01-01,Ohio,OH,Townhouse,267800,39
