period_begin,state,state_code,property_type,median_sale_price,median_list_price,homes_sold,new_listings,inventory,months_of_supply,off_market_in_two_weeks,parent_metro_region
2021-03-01,New York,NY,condo,643000,808200.0,2667,3810.0,13201.0,4.9,0.07656866558,Northeast Region
2016-02-01,Wisconsin,WI,single family,154400,178000.0,3061,5783.0,24812.0,8.1,0.07228647138,Midwest Region
2022-12-01,Indiana,IN,townhouse,226200,237200.0,28,22.0,107.0,3.8,0.3166144201,Midwest Region
2024-02-01,Connecticut,CT,all,374000,417700.0,2053,2751.0,5571.0,2.7,0.5167995295,Northeast Region
2020-01-01,New Hampshire,NH,condo,222300,330800.0,167,193.0,526.0,3.1,0.456025014,Northeast Region
2023-02-01,Pennsylvania,PA,multi family,177000,235500.0,258,404.0,1113.0,4.3,0.3906051652,Northeast Region
2014-06-01,Hawaii,HI,townhouse,578300,506200.0,15,10.0,85.0,5.7,0.0,West Region
2014-05-01,Nevada,NV,condo,95300,213100.0,486,646.0,2573.0,5.3,0.1672789689,West Region
2015-07-01,Oklahoma,OK,all,151200,150000.0,4427,5333.0,15611.0,3.5,0.2579081823,South Region
2024-09-01,Massachusetts,MA,single family,634900,640100.0,3325,5029.0,7447.0,2.2,0.5480621753,Northeast Region
2021-03-01,South Dakota,SD,multi family,171200,254100.0,11,13.0,21.0,1.9,0.0,Midwest Region
2018-04-01,Oklahoma,OK,townhouse,111900,188300.0,43,60.0,122.0,2.8,0.4464424951,South Region
2021-01-01,Wyoming,WY,condo,1264500,1469500.0,14,4.0,32.0,2.3,0.0,West Region
2024-07-01,New Jersey,NJ,condo,458700,607300.0,948,1210.0,2844.0,3.0,0.3520741494,Northeast Region
2023-01-01,New Jersey,NJ,single family,435500,432500.0,4220,4857.0,12052.0,2.9,0.2472373552,Northeast Region
2017-12-01,Vermont,VT,townhouse,221900,265400.0,58,41.0,229.0,3.9,0.2300813008,Northeast Region
2021-09-01,Connecticut,CT,all,332200,334600.0,5314,5301.0,12406.0,2.3,0.4226910754,Northeast Region
2016-06-01,Florida,FL,all,211100,230500.0,40551,43344.0,161142.0,4.0,0.2029552858,South Region
2023-03-01,Georgia,GA,single family,360500,373100.0,10439,14125.0,26816.0,2.6,0.3516973286,South Region
2015-01-01,Tennessee,TN,single family,165900,179700.0,4154,7141.0,25690.0,6.2,0.090968821,South Region
2020-01-01,South Dakota,SD,multi family,162400,232000.0,11,4.0,19.0,1.7,0.0,Midwest Region
2016-03-01,Illinois,IL,multi family,170200,247600.0,415,776.0,2101.0,5.1,0.2693938205,Midwest Region
2015-07-01,Minnesota,MN,townhouse,170100,235300.0,1139,1180.0,2338.0,2.1,0.3777011031,Midwest Region
2023-01-01,Utah,UT,townhouse,459000,527600.0,323,416.0,1153.0,3.6,0.2506765687,West Region
2019-07-01,Wyoming,WY,all,276500,332000.0,906,890.0,3258.0,3.6,0.02972339841,West Region
2022-10-01,Rhode Island,RI,condo,367600,429000.0,173,175.0,285.0,1.6,0.6238407943,Northeast Region
2019-07-01,Pennsylvania,PA,townhouse,199100,224600.0,3916,4256.0,9507.0,2.4,0.4042569829,Northeast Region
2015-07-01,Alabama,AL,single family,168700,166600.0,4315,4765.0,20213.0,4.7,0.01369038486,South Region
2021-10-01,Ohio,OH,condo,184200,213400.0,1438,1339.0,2312.0,1.6,0.5913623252,Midwest Region
2019-08-01,West Virginia,WV,townhouse,178600,211500.0,94,92.0,325.0,3.5,0.1993280632,South Region
2024-03-01,Missouri,MO,condo,198900,283200.0,478,662.0,1095.0,2.3,0.4874521826,Midwest Region
2017-12-01,Alabama,AL,all,181400,180400.0,4008,2997.0,19646.0,4.9,0.0615945219,South Region
2014-12-01,Missouri,MO,all,141800,123000.0,5098,4085.0,18381.0,3.6,0.006173165296,Midwest Region
2014-06-01,Alabama,AL,all,166000,174600.0,3832,4306.0,20470.0,5.3,0.02569519186,South Region
2019-06-01,Massachusetts,MA,single family,450200,431800.0,6121,7275.0,16505.0,2.7,0.4204181779,Northeast Region
